1, 01-02-2026, Stazione_Alfa, 12.5, 65.0, 1013.2, 400.5
2, 01-02-2026, Stazione_Beta, 10.2, 70.5, 1012.8, 415.0
3, 02-02-2026, Stazione_Gamma, 15.1, 55.0, 1010.5, 390.2
4, 02-02-2026, Stazione_Alfa, 13.0, 62.1, 1013.0, 405.8
5, 03-02-2026, Stazione_Beta, 9.8, 75.2, 1014.1, 420.3
6, 03-02-2026, Stazione_Gamma, 14.5, 58.4, 1011.2, 395.7
7, 04-02-2026, Stazione_Alfa, 11.9, 68.3, 1012.5, 410.1
8, 04-02-2026, Stazione_Beta, 10.5, 72.0, 1013.5, 425.6
9, 05-02-2026, Stazione_Gamma, 16.2, 50.5, 1009.8, 388.4
10, 05-02-2026, Stazione_Alfa, 14.1, 60.0, 1011.9, 412.3
11, 06-02-2026, Stazione_Beta, 8.5, 80.1, 1015.2, 430.2
12, 06-02-2026, Stazione_Gamma, 15.8, 52.3, 1010.1, 392.1
13, 07-02-2026, Stazione_Alfa, 12.7, 64.2, 1012.8, 408.5
14, 07-02-2026, Stazione_Beta, 11.1, 69.8, 1013.2, 418.9
15, 08-02-2026, Stazione_Gamma, 17.5, 48.2, 1008.5, 385.0
16, 08-02-2026, Stazione_Alfa, 15.0, 58.9, 1011.1, 415.6
17, 09-02-2026, Stazione_Beta, 7.9, 82.5, 1016.0, 435.4
18, 09-02-2026, Stazione_Gamma, 14.0, 60.1, 1012.3, 402.2
19, 10-02-2026, Stazione_Alfa, 13.4, 61.5, 1012.0, 407.3
20, 10-02-2026, Stazione_Beta, 10.8, 71.2, 1013.7, 422.1
21, 11-02-2026, Stazione_Gamma, 18.2, 45.3, 1007.2, 380.9
22, 11-02-2026, Stazione_Alfa, 16.5, 55.4, 1010.5, 420.8
23, 12-02-2026, Stazione_Beta, 6.5, 85.0, 1017.5, 450.5
24, 12-02-2026, Stazione_Gamma, 13.5, 63.2, 1013.5, 405.4
25, 13-02-2026, Stazione_Alfa, 12.0, 66.8, 1012.9, 410.2
26, 13-02-2026, Stazione_Beta, 11.5, 68.5, 1013.0, 415.3
27, 14-02-2026, Stazione_Gamma, 19.1, 40.2, 1006.5, 375.6
28, 14-02-2026, Stazione_Alfa, 17.2, 52.1, 1010.0, 425.9
29, 15-02-2026, Stazione_Beta, 5.2, 88.4, 1018.9, 460.1
30, 15-02-2026, Stazione_Gamma, 12.8, 65.5, 1014.2, 408.7
31, 16-02-2026, Stazione_Alfa, 11.2, 69.1, 1013.5, 412.4
32, 16-02-2026, Stazione_Beta, 12.4, 65.2, 1012.2, 410.8
33, 17-02-2026, Stazione_Gamma, 20.5, 38.0, 1005.1, 370.2
34, 17-02-2026, Stazione_Alfa, 18.4, 49.5, 1009.2, 430.5
35, 18-02-2026, Stazione_Beta, 4.8, 90.2, 1019.5, 470.3
36, 18-02-2026, Stazione_Gamma, 11.5, 70.2, 1015.8, 412.1
37, 19-02-2026, Stazione_Alfa, 10.5, 72.4, 1014.0, 415.8
38, 19-02-2026, Stazione_Beta, 13.2, 62.8, 1011.5, 405.2
39, 20-02-2026, Stazione_Gamma, 22.1, 35.5, 1004.2, 365.8
40, 20-02-2026, Stazione_Alfa, 19.8, 45.2, 1008.1, 440.2
41, 01-02-2026, Stazione_Delta, 14.2, 60.5, 1012.1, 405.3
42, 02-02-2026, Stazione_Delta, 13.8, 62.0, 1011.9, 408.1
43, 03-02-2026, Stazione_Delta, 15.5, 58.2, 1010.5, 402.7
44, 04-02-2026, Stazione_Delta, 16.1, 55.4, 1009.8, 398.5
45, 05-02-2026, Stazione_Delta, 14.9, 59.1, 1011.2, 404.9
46, 06-02-2026, Stazione_Delta, 13.2, 63.5, 1012.8, 410.2
47, 07-02-2026, Stazione_Delta, 12.5, 65.8, 1013.5, 415.6
48, 08-02-2026, Stazione_Delta, 15.0, 57.2, 1010.2, 401.3
49, 09-02-2026, Stazione_Delta, 17.2, 50.1, 1008.9, 392.8
50, 10-02-2026, Stazione_Delta, 18.5, 46.5, 1007.5, 385.4
