1,01-02-2026,S1,2.5,70,1012,400
2,01-02-2026,S2,1.8,75,1010,402
3,01-02-2026,S3,3.2,65,1015,398
4,02-02-2026,S1,1.9,72,1013,401
5,02-02-2026,S2,0.5,78,1011,405
6,02-02-2026,S3,2.8,67,1014,399
7,03-02-2026,S1,3.0,71,1012,403
8,03-02-2026,S2,1.2,74,1010,407
9,03-02-2026,S3,2.5,66,1013,400
10,04-02-2026,S1,2.2,70,1011,402
11,04-02-2026,S2,0.8,76,1014,408
12,04-02-2026,S3,3.1,65,1012,399
13,05-02-2026,S1,1.7,73,1013,401
14,05-02-2026,S2,1.0,77,1011,406
15,05-02-2026,S3,2.9,68,1015,400
16,06-02-2026,S1,2.6,70,1012,403
17,06-02-2026,S2,1.5,75,1010,407
18,06-02-2026,S3,3.0,66,1014,402
19,07-02-2026,S1,2.1,71,1013,404
20,07-02-2026,S2,0.9,78,1011,405
21,07-02-2026,S3,2.7,67,1013,399
100,06-03-2026,exeter,34,23,56,0.98
